City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,Straumen,63.8709,11.2999,35.6,87,100,13.22,NO,2022-02-06 15:48:38
265,Daru,-9.0763,143.2092,79.47,84,99,4.54,PG,2022-02-06 15:48:38
266,Lebu,-37.6167,-73.65,66.99,60,0,13.76,CL,2022-02-06 15:46:03
267,San Rafael,-34.6177,-68.3301,74.03,35,0,10.11,AR,2022-02-06 15:48:38
268,Huicungo,-7.2833,-76.8,77.18,90,99,2.15,PE,2022-02-06 15:48:39
269,Parrita,9.5201,-84.3225,88.99,46,0,5.66,CR,2022-02-06 15:48:39
270,Sucha Beskidzka,49.7419,19.5943,41.02,79,93,14.29,PL,2022-02-06 15:48:39
271,Leh,34.1667,77.5833,10.22,84,82,1.81,IN,2022-02-06 15:48:39
272,Aden,12.7794,45.0367,78.28,67,90,7.54,YE,2022-02-06 15:47:04
273,Bartica,6.4,-58.6167,82.72,85,88,3.98,GY,2022-02-06 15:48:40
274,Ahipara,-35.1667,173.1667,72.14,98,100,8.43,NZ,2022-02-06 15:48:40
275,Kysyl-Syr,63.8986,122.7617,-23.26,100,96,6.17,RU,2022-02-06 15:49:40
276,Port Keats,-14.25,129.55,78.84,84,91,1.61,AU,2022-02-06 15:49:41
277,Ilulissat,69.2167,-51.1,-0.38,46,100,3.44,GL,2022-02-06 15:49:41
278,Korem,12.5058,39.5228,54.32,81,37,6.93,ET,2022-02-06 15:49:41
279,Norman Wells,65.282,-126.8329,-16.56,69,75,4.61,CA,2022-02-06 15:46:17
280,Baykit,61.67,96.37,-7.96,100,93,2.71,RU,2022-02-06 15:48:10
281,Aracati,-4.5617,-37.7697,89.42,50,74,12.3,BR,2022-02-06 15:49:42
282,Port Lincoln,-34.7333,135.8667,70.23,71,1,12.39,AU,2022-02-06 15:49:42
283,Saint Paul,44.9444,-93.0933,24.8,87,100,1.99,US,2022-02-06 15:48:42
284,Taltal,-25.4,-70.4833,71.37,67,2,6.38,CL,2022-02-06 15:49:43
285,Stavern,59.0,10.0333,38.3,65,19,19.64,NO,2022-02-06 15:49:43
286,Manaure,11.7751,-72.4445,84.31,56,2,9.24,CO,2022-02-06 15:49:43
287,Pacific Grove,36.6177,-121.9166,53.62,70,0,3.44,US,2022-02-06 15:47:12
288,Kualakapuas,-3.0091,114.3876,75.36,96,100,2.35,ID,2022-02-06 15:49:44
289,Mapiri,-15.25,-68.1667,67.5,100,100,0.16,BO,2022-02-06 15:49:44
290,Kiama,-34.6833,150.8667,64.99,86,60,1.01,AU,2022-02-06 15:49:44
291,Poplar Bluff,36.757,-90.3929,33.62,86,0,5.59,US,2022-02-06 15:49:45
292,Tobol,52.6844,62.5794,3.85,92,59,6.98,KZ,2022-02-06 15:47:53
293,Husavik,66.0449,-17.3389,26.51,89,100,13.89,IS,2022-02-06 15:49:45
